map_name,team_name,year,appearances
Argentina,Argentina,1930,1
Argentina,Argentina,1934,2
Argentina,Argentina,1938,2
Argentina,Argentina,1942,2
Argentina,Argentina,1946,2
Argentina,Argentina,1950,2
Argentina,Argentina,1954,2
Argentina,Argentina,1958,3
Argentina,Argentina,1962,4
Argentina,Argentina,1966,5
Argentina,Argentina,1970,5
Argentina,Argentina,1974,6
Argentina,Argentina,1978,7
Argentina,Argentina,1982,8
Argentina,Argentina,1986,9
Argentina,Argentina,1990,10
Argentina,Argentina,1994,11
Argentina,Argentina,1998,12
Argentina,Argentina,2002,13
Argentina,Argentina,2006,14
Argentina,Argentina,2010,15
Argentina,Argentina,2014,16
Argentina,Argentina,2018,17
Argentina,Argentina,2022,18
Belgium,Belgium,1930,1
Belgium,Belgium,1934,2
Belgium,Belgium,1938,3
Belgium,Belgium,1942,3
Belgium,Belgium,1946,3
Belgium,Belgium,1950,3
Belgium,Belgium,1954,4
Belgium,Belgium,1958,4
Belgium,Belgium,1962,4
Belgium,Belgium,1966,4
Belgium,Belgium,1970,5
Belgium,Belgium,1974,5
Belgium,Belgium,1978,5
Belgium,Belgium,1982,6
Belgium,Belgium,1986,7
Belgium,Belgium,1990,8
Belgium,Belgium,1994,9
Belgium,Belgium,1998,10
Belgium,Belgium,2002,11
Belgium,Belgium,2006,11
Belgium,Belgium,2010,11
Belgium,Belgium,2014,12
Belgium,Belgium,2018,13
Belgium,Belgium,2022,14
Bolivia,Bolivia,1930,1
Bolivia,Bolivia,1934,1
Bolivia,Bolivia,1938,1
Bolivia,Bolivia,1942,1
Bolivia,Bolivia,1946,1
Bolivia,Bolivia,1950,2
Bolivia,Bolivia,1954,2
Bolivia,Bolivia,1958,2
Bolivia,Bolivia,1962,2
Bolivia,Bolivia,1966,2
Bolivia,Bolivia,1970,2
Bolivia,Bolivia,1974,2
Bolivia,Bolivia,1978,2
Bolivia,Bolivia,1982,2
Bolivia,Bolivia,1986,2
Bolivia,Bolivia,1990,2
Bolivia,Bolivia,1994,3
Bolivia,Bolivia,1998,3
Bolivia,Bolivia,2002,3
Bolivia,Bolivia,2006,3
Bolivia,Bolivia,2010,3
Bolivia,Bolivia,2014,3
Bolivia,Bolivia,2018,3
Bolivia,Bolivia,2022,3
Brazil,Brazil,1930,1
Brazil,Brazil,1934,2
Brazil,Brazil,1938,3
Brazil,Brazil,1942,3
Brazil,Brazil,1946,3
Brazil,Brazil,1950,4
Brazil,Brazil,1954,5
Brazil,Brazil,1958,6
Brazil,Brazil,1962,7
Brazil,Brazil,1966,8
Brazil,Brazil,1970,9
Brazil,Brazil,1974,10
Brazil,Brazil,1978,11
Brazil,Brazil,1982,12
Brazil,Brazil,1986,13
Brazil,Brazil,1990,14
Brazil,Brazil,1994,15
Brazil,Brazil,1998,16
Brazil,Brazil,2002,17
Brazil,Brazil,2006,18
Brazil,Brazil,2010,19
Brazil,Brazil,2014,20
Brazil,Brazil,2018,21
Brazil,Brazil,2022,22
Chile,Chile,1930,1
Chile,Chile,1934,1
Chile,Chile,1938,1
Chile,Chile,1942,1
Chile,Chile,1946,1
Chile,Chile,1950,2
Chile,Chile,1954,2
Chile,Chile,1958,2
Chile,Chile,1962,3
Chile,Chile,1966,4
Chile,Chile,1970,4
Chile,Chile,1974,5
Chile,Chile,1978,5
Chile,Chile,1982,6
Chile,Chile,1986,6
Chile,Chile,1990,6
Chile,Chile,1994,6
Chile,Chile,1998,7
Chile,Chile,2002,7
Chile,Chile,2006,7
Chile,Chile,2010,8
Chile,Chile,2014,9
Chile,Chile,2018,9
Chile,Chile,2022,9
France,France,1930,1
France,France,1934,2
France,France,1938,3
France,France,1942,3
France,France,1946,3
France,France,1950,3
France,France,1954,4
France,France,1958,5
France,France,1962,5
France,France,1966,6
France,France,1970,6
France,France,1974,6
France,France,1978,7
France,France,1982,8
France,France,1986,9
France,France,1990,9
France,France,1994,9
France,France,1998,10
France,France,2002,11
France,France,2006,12
France,France,2010,13
France,France,2014,14
France,France,2018,15
France,France,2022,16
Mexico,Mexico,1930,1
Mexico,Mexico,1934,1
Mexico,Mexico,1938,1
Mexico,Mexico,1942,1
Mexico,Mexico,1946,1
Mexico,Mexico,1950,2
Mexico,Mexico,1954,3
Mexico,Mexico,1958,4
Mexico,Mexico,1962,5
Mexico,Mexico,1966,6
Mexico,Mexico,1970,7
Mexico,Mexico,1974,7
Mexico,Mexico,1978,8
Mexico,Mexico,1982,8
Mexico,Mexico,1986,9
Mexico,Mexico,1990,9
Mexico,Mexico,1994,10
Mexico,Mexico,1998,11
Mexico,Mexico,2002,12
Mexico,Mexico,2006,13
Mexico,Mexico,2010,14
Mexico,Mexico,2014,15
Mexico,Mexico,2018,16
Mexico,Mexico,2022,17
Paraguay,Paraguay,1930,1
Paraguay,Paraguay,1934,1
Paraguay,Paraguay,1938,1
Paraguay,Paraguay,1942,1
Paraguay,Paraguay,1946,1
Paraguay,Paraguay,1950,2
Paraguay,Paraguay,1954,2
Paraguay,Paraguay,1958,3
Paraguay,Paraguay,1962,3
Paraguay,Paraguay,1966,3
Paraguay,Paraguay,1970,3
Paraguay,Paraguay,1974,3
Paraguay,Paraguay,1978,3
Paraguay,Paraguay,1982,3
Paraguay,Paraguay,1986,4
Paraguay,Paraguay,1990,4
Paraguay,Paraguay,1994,4
Paraguay,Paraguay,1998,5
Paraguay,Paraguay,2002,6
Paraguay,Paraguay,2006,7
